Word, Count, Frequency
the,24,8.362369337979095
a,10,3.484320557491289
it,7,2.4390243902439024
of,7,2.4390243902439024
and,6,2.0905923344947737
as,5,1.7421602787456445
library,5,1.7421602787456445
his,5,1.7421602787456445
was,5,1.7421602787456445
knowledge,4,1.3937282229965158
oliver,4,1.3937282229965158
to,4,1.3937282229965158
had,4,1.3937282229965158
for,4,1.3937282229965158
with,4,1.3937282229965158
he,4,1.3937282229965158
in,3,1.0452961672473868
books,3,1.0452961672473868
walls,3,1.0452961672473868
but,3,1.0452961672473868
this,3,1.0452961672473868
its,3,1.0452961672473868
time,3,1.0452961672473868
world,2,0.6968641114982579
filled,2,0.6968641114982579
through,2,0.6968641114982579
that,2,0.6968641114982579
forgotten,2,0.6968641114982579
town,2,0.6968641114982579
sealed,2,0.6968641114982579
history,2,0.6968641114982579
who,2,0.6968641114982579
why,2,0.6968641114982579
or,2,0.6968641114982579
truth,2,0.6968641114982579
untouched,1,0.34843205574912894
been,1,0.34843205574912894
translucent,1,0.34843205574912894
dipped,1,0.34843205574912894
truths,1,0.34843205574912894
brushed,1,0.34843205574912894
buried,1,0.34843205574912894
stood,1,0.34843205574912894
your,1,0.34843205574912894
fingers,1,0.34843205574912894
soon,1,0.34843205574912894
decided,1,0.34843205574912894
lost,1,0.34843205574912894
golden,1,0.34843205574912894
trembled,1,0.34843205574912894
awakened,1,0.34843205574912894
nobody,1,0.34843205574912894
abandoned,1,0.34843205574912894
if,1,0.34843205574912894
you,1,0.34843205574912894
swirled,1,0.34843205574912894
old,1,0.34843205574912894
remain,1,0.34843205574912894
uncover,1,0.34843205574912894
thousands,1,0.34843205574912894
ancient,1,0.34843205574912894
an,1,0.34843205574912894
resistance,1,0.34843205574912894
leather,1,0.34843205574912894
rewrite,1,0.34843205574912894
doors,1,0.34843205574912894
at,1,0.34843205574912894
left,1,0.34843205574912894
shadows,1,0.34843205574912894
pondered,1,0.34843205574912894
pedestal,1,0.34843205574912894
endlessly,1,0.34843205574912894
wandered,1,0.34843205574912894
touched,1,0.34843205574912894
be,1,0.34843205574912894
against,1,0.34843205574912894
robes,1,0.34843205574912894
air,1,0.34843205574912894
emerged,1,0.34843205574912894
sun,1,0.34843205574912894
seek,1,0.34843205574912894
existed,1,0.34843205574912894
creaked,1,0.34843205574912894
stretched,1,0.34843205574912894
low,1,0.34843205574912894
too,1,0.34843205574912894
mysterious,1,0.34843205574912894
by,1,0.34843205574912894
have,1,0.34843205574912894
speak,1,0.34843205574912894
power,1,0.34843205574912894
protect,1,0.34843205574912894
guardian,1,0.34843205574912894
humanity,1,0.34843205574912894
could,1,0.34843205574912894
knew,1,0.34843205574912894
one,1,0.34843205574912894
historian,1,0.34843205574912894
i,1,0.34843205574912894
librarian,1,0.34843205574912894
aisles,1,0.34843205574912894
lantern,1,0.34843205574912894
such,1,0.34843205574912894
massive,1,0.34843205574912894
s,1,0.34843205574912894
wooden,1,0.34843205574912894
armed,1,0.34843205574912894
echoed,1,0.34843205574912894
holds,1,0.34843205574912894
evening,1,0.34843205574912894
choice,1,0.34843205574912894
shifted,1,0.34843205574912894
open,1,0.34843205574912894
voice,1,0.34843205574912894
door,1,0.34843205574912894
towering,1,0.34843205574912894
inside,1,0.34843205574912894
him,1,0.34843205574912894
edge,1,0.34843205574912894
kingdoms,1,0.34843205574912894
chamber,1,0.34843205574912894
should,1,0.34843205574912894
locked,1,0.34843205574912894
entrance,1,0.34843205574912894
dust,1,0.34843205574912894
vault,1,0.34843205574912894
those,1,0.34843205574912894
surprise,1,0.34843205574912894
faded,1,0.34843205574912894
everyone,1,0.34843205574912894
below,1,0.34843205574912894
keeper,1,0.34843205574912894
revealing,1,0.34843205574912894
shatter,1,0.34843205574912894
secrets,1,0.34843205574912894
heart,1,0.34843205574912894
chosen,1,0.34843205574912894
never,1,0.34843205574912894
marble,1,0.34843205574912894
shimmering,1,0.34843205574912894
covered,1,0.34843205574912894
name,1,0.34843205574912894
know,1,0.34843205574912894
ground,1,0.34843205574912894
glow,1,0.34843205574912894
little,1,0.34843205574912894
away,1,0.34843205574912894
hidden,1,0.34843205574912894
young,1,0.34843205574912894
purpose,1,0.34843205574912894
book,1,0.34843205574912894
dangerous,1,0.34843205574912894
title,1,0.34843205574912894
shelves,1,0.34843205574912894
swallowed,1,0.34843205574912894
ready,1,0.34843205574912894
whispers,1,0.34843205574912894
hard,1,0.34843205574912894
heard,1,0.34843205574912894
on,1,0.34843205574912894
figure,1,0.34843205574912894
stories,1,0.34843205574912894
pounded,1,0.34843205574912894
resting,1,0.34843205574912894
built,1,0.34843205574912894
bound,1,0.34843205574912894
ethereal,1,0.34843205574912894
ivy,1,0.34843205574912894
expose,1,0.34843205574912894
whispered,1,0.34843205574912894
horizon,1,0.34843205574912894
crowbar,1,0.34843205574912894
peculiar,1,0.34843205574912894
decades,1,0.34843205574912894
approached,1,0.34843205574912894
